"Plot_Number","Rice_Cultivar","Experiment_Name","Nitrogen_Rate","Replicate","Yield","Heading_100","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_90","dissimilarity_90","homogeneity_90","ASM_90","energy_90","correlation_90"
"35843","Jefferson","Mini_Core",130,"3",9.681765496,76,34.0598221,-0.8563689,0.8143789,0.9756222,0.8563689,11.9775934,0.6786802,2.2167389,0.3526744,4.2369857,0.0241057,-0.5210693,0.470274,0.5210693,-0.1259369,0.7538931,-5.67e-05,0.4058775,-0.2768102,41.3196907,29.1329384,4.0934505,0.9524129,0.3883501,0.119391135,1,42.91388889,5.241666667,0.169837472,0.002808642,0.052996622,0.791253515
"33817","Sierra","Tiara",200,"2",8.465809166,87,35.2327538,-0.8395534,0.7796531,0.9721939,0.8395534,10.6638556,0.6664931,2.1497395,0.3309776,4.0463805,0.0254733,-0.5187137,0.4365934,0.5187137,-0.1920187,0.8043048,-5.71e-05,0.4677979,-0.296562,37.0119743,27.0403748,3.6938694,0.945945,0.356905,0.175196868,1,31.45736434,4.315245478,0.213757746,0.003839246,0.061961648,0.85625103
"35199","Santee Gold","Santee_Gold",200,"1",9.544110062,92,31.3742065,-0.6006953,0.5383453,0.841435,0.6006953,3.3066814,0.3364268,3.2279463,0.2215475,1.0622205,0.0575534,-0.2812074,0.291732,0.2812074,0.0219913,0.4232425,-0.0001608,0.5374687,-0.203142,8.3901052,17.9371796,2.3100038,0.7380303,0.1666995,0.281697072,0.915909091,20.99747475,3.553030303,0.237338275,0.004795429,0.069249036,0.941613153
"35196","Charleston Gold","Santee_Gold",200,"1",7.505088952,87,35.907505,-0.8801406,0.8793496,0.984967,0.8801406,14.7333374,0.7047992,2.2455947,0.3860706,4.782454,0.0212696,-0.6185317,0.5498737,0.6185317,-0.1884212,0.8584648,-5.18e-05,0.3451834,-0.2812464,66.8725357,32.5832672,3.7102847,0.9703817,0.4413735,0.207300003,1,59.09011628,6.171511628,0.123845133,0.002615434,0.051141314,0.766285754
"35852","Jefferson","Mini_Core",130,"4",10.72278471,74,30.3730526,-0.6862132,0.9943753,0.8584259,0.6862132,4.3986144,0.4008958,8.9372387,0.5162241,1.344949,0.1581772,-0.1392424,0.2590996,0.1392424,0.2847562,0.183479,-0.0009046,0.4205719,-0.1052502,7.2009263,59.1809959,4.0883031,0.7524652,0.634668,0.235993512,1,82.71111111,7.272222222,0.120519353,0.002391975,0.048907825,0.641467052
"33795","IAC600","Tiara",150,"2",6.871300393,67,36.015728,-0.7648095,0.7875423,0.9247385,0.7648095,6.5256429,0.5100498,3.988997,0.3632641,2.0845089,0.0505898,-0.279511,0.3756338,0.279511,0.2407893,0.358449,-0.0001872,0.344364,-0.1788363,13.4283094,31.6357822,4.2516642,0.8601099,0.3694795,0.236942072,1,31.98295455,4.420454545,0.223913256,0.003272695,0.057207473,0.821101504
"33818","Scarlett","Tiara",200,"2",12.52090881,86,30.6648846,-0.7471571,0.7977267,0.916914,0.7471571,5.9666371,0.4486037,4.5807586,0.3717689,1.6366456,0.0582307,-0.2717535,0.3728107,0.2717535,0.253519,0.3468631,-0.0002519,0.3409075,-0.1617853,12.2026033,33.0627708,4.0022449,0.8467317,0.3548028,0.135557911,1,25.28787879,3.888888889,0.241617864,0.003701791,0.060842342,0.855238801
"35181","Charleston Gold","Santee_Gold",150,"2",9.549845705,86,36.1138687,-0.8646988,0.8855281,0.9820616,0.8646988,12.9579792,0.6619077,2.7668691,0.3928145,3.9422243,0.0247758,-0.607843,0.5793455,0.607843,-0.085509,0.7917979,-7.79e-05,0.2885419,-0.268493,58.6263084,33.607338,3.3867931,0.9647866,0.4376976,0.242197154,1,24.89141414,3.967171717,0.219511265,0.003156566,0.056183322,0.879038797
"35180","Carolina Gold","Santee_Gold",150,"2",4.869560963,89,28.5292778,-0.7539996,0.9748298,0.9658486,0.7539996,6.1927247,0.5229311,6.4659634,0.4323355,2.2019715,0.0558439,-0.6093754,0.5986622,0.6093754,-0.0332577,0.7701434,-0.000412,0.2593652,-0.3383475,29.7461319,40.3234177,1.7440829,0.9339849,0.4448109,0.17682938,1,43.16576087,5.214673913,0.157558843,0.002721083,0.052164005,0.852463483
"35853","EMBRAPA 1200","Mini_Core",130,"4",10.43026692,86,28.7967033,-0.7142865,0.7988808,0.942401,0.7142865,5.2633677,0.4783589,5.6921797,0.3527775,1.8787122,0.0548017,-0.4930028,0.5201564,0.4930028,0.0754397,0.6301363,-0.0003692,0.291603,-0.3081883,18.8318291,31.1386147,2.1188352,0.8914905,0.3282833,0.19711589,1,42.36702128,5.29787234,0.163106539,0.002259931,0.047538731,0.89342437
